Tm,Opp,Down,ToGo,Side of Field,Tm Score,Opp Score,Time Under,Absolute Score Differential,Team Game Location,Yard Line,Touchdown Count,Play Percent of Goal,First Down Count,Goal To Go,Success Count,Play Type,Run,Pass,Play Location,Run Left,Run Middle,Run Right,Short,Deep
49ers,Cowboys,1,10,SFO,7,3,7,4,Away,66,0,3.7,1,0,1,Pass,0,1,Deep Middle,0,0,0,0,1
49ers,Cowboys,1,10,DAL,13,3,7,10,Away,29,1,2.9,0,0,1,Pass,0,1,Deep Right,0,0,0,0,1
49ers,Cowboys,1,10,SFO,7,3,8,4,Away,80,0,0.7,0,0,1,Pass,0,1,Short Left,0,0,0,1,0
49ers,Cowboys,1,2,DAL,20,3,5,17,Away,2,1,1,0,1,1,Pass,0,1,Short Right,0,0,0,1,0
49ers,Cowboys,1,10,SFO,21,3,13,18,Away,80,0,2,1,0,1,Run,1,0,Left Tackle,1,0,0,0,0
49ers,Cowboys,1,10,DAL,21,3,1,18,Away,17,0,1.3,1,0,1,Run,1,0,Right Guard,0,0,1,0,0
49ers,Cowboys,1,10,DAL,21,3,2,18,Away,30,0,0.6,0,0,1,Run,1,0,Left End,1,0,0,0,0
49ers,Cowboys,1,4,DAL,27,3,1,24,Away,4,1,1,0,1,1,Run,1,0,Up The Middle,0,1,0,0,0
49ers,Cowboys,1,10,DAL,21,3,11,18,Away,46,0,0.3,0,0,0,Run,1,0,Left Tackle,1,0,0,0,0
49ers,Cowboys,1,10,SFO,21,3,13,18,Away,60,0,0.2,0,0,0,Run,1,0,Right End,0,0,1,0,0
49ers,Cowboys,1,10,SFO,21,3,3,18,Away,53,0,0.1,0,0,0,Run,1,0,Left Tackle,1,0,0,0,0
49ers,Cowboys,1,10,DAL,21,3,9,18,Away,32,0,-0.1,0,0,0,Run,1,0,Right End,0,0,1,0,0
49ers,Cowboys,1,10,SFO,21,3,4,18,Away,64,0,0,0,0,0,Pass,0,1,Short Right,0,0,0,1,0
49ers,Cowboys,3,8,SFO,21,3,3,18,Away,51,0,2.625,1,0,1,Pass,0,1,Short Right,0,0,0,1,0
49ers,Cowboys,3,30,SFO,21,3,7,18,Away,52,0,0.433333333,0,0,0,Pass,0,1,Short Middle,0,0,0,1,0
49ers,Cowboys,3,8,DAL,21,3,10,18,Away,44,0,1.5,1,0,1,Pass,0,1,Short Left,0,0,0,1,0
